,entry_id,stsd,day,vid,tablockid,blk,num_trip,num_trip_inservice,start_timestamp,end_timestamp,time_driven,miles_driven,soc_used,avg_temp,avg_speed,avg_speed_driven,max_speed,acceleration_avg,acceleration_max,acceleration_min,mile_soc,energy_used,kwh_mile,accu_ascending,accu_descending,num_peaks,weight,traffic,num_driver_id,start_rm,end_rm,odo,source,start_soc,end_soc
260,261,2025-02-04,TUESDAY,2406,35,35,16,14,1738678370,1738730512,854.85,145.932,64.0,58.5472,12.658,20.1146,43.127,-0.022221,5.71257,-4.95063,2.28019,303.31,2.07843,645.516,-630.76,172,,,2,185.626,75.6843,4328.83,Clever,,
261,262,2025-02-04,TUESDAY,2407,142,142,4,3,1738678553,1738696679,299.383,63.4513,21.2,55.8911,14.3468,22.177,39.5153,0.148346,2.25524,-2.04248,2.99299,122.573,1.93177,299.731,-290.304,90,,,1,127.298,83.4601,8128.92,Clever,,
262,263,2025-02-04,TUESDAY,2402,43,43,14,13,1738679135,1738729065,819.0,154.128,58.8,59.1686,11.9643,18.7191,42.6319,-0.0146738,5.0743,-6.46289,2.62123,283.431,1.83893,445.075,-451.118,185,,,2,192.973,96.0861,9567.09,Clever,,
263,264,2025-02-05,WEDNESDAY,2407,11X,11X,19,17,1738760820,1738808386,781.4,170.374,56.4,57.1993,13.9896,20.1317,54.0884,0.0276953,3.15072,-1.77745,3.02081,319.934,1.87784,554.445,-608.438,186,,,2,211.697,90.3587,8195.22,Clever,,
264,265,2025-02-05,WEDNESDAY,2401,15,15,14,12,1738762381,1738815892,878.7,151.552,68.0,56.5035,11.4993,19.1115,45.7776,-0.0177341,2.40649,-2.51736,2.22871,327.517,2.16108,661.311,-647.399,175,,,2,177.45,68.8385,6475.91,Clever,,
265,266,2025-02-06,THURSDAY,2407,11X,11X,19,17,1738846970,1738894844,779.967,170.352,62.0,58.73,13.8759,20.9627,65.1469,-0.0138246,2.15023,-4.77099,2.74761,298.064,1.7497,592.493,-648.455,191,,,2,218.353,102.963,8369.81,Clever,,
266,267,2025-02-06,THURSDAY,2402,72,72,11,9,1738847741,1738908103,995.634,196.558,78.0,58.5914,13.1317,21.4505,53.7098,0.0128424,2.50401,-2.44404,2.51998,383.074,1.94891,993.232,-995.302,271,,,2,202.451,61.9748,9727.52,Clever,,
267,268,2025-02-06,THURSDAY,2405,82,82,6,5,1738848584,1738874834,432.182,84.6712,34.4,57.98,11.9983,19.8137,51.5835,0.0123067,2.35976,-3.10628,2.46137,184.014,2.17328,384.419,-390.367,98,,,1,200.499,136.667,6408.35,Clever,,
268,269,2025-02-06,THURSDAY,2406,15,15,17,15,1738848839,1738902395,876.05,152.233,77.6,58.7144,11.6658,20.5984,42.3697,0.0143926,5.51146,-2.7765,1.96176,300.768,1.97571,657.295,-648.293,184,,,2,193.788,90.1154,4481.12,Clever,,
269,270,2025-02-07,FRIDAY,2407,11X,11X,19,17,1738933367,1738981310,780.9,169.547,77.6,58.6744,14.3227,21.2442,57.9526,0.0123113,2.48016,-3.48537,2.18489,308.932,1.8221,572.849,-632.554,186,,,2,216.857,89.6707,8544.15,Clever,,
