,BLOCK_ID_GTFS,BLOCK_ID_USER,DAY,ROUTE_ID,ROUTE_ID_2,ROUTE_ID_3,SERVICE_ID,START_TIME,END_TIME,INSERVICE_START_TIME,INSERVICE_END_TIME,ST,ET,INSERVICE_ST,INSERVICE_ET,REVENUE_TIME,REVENUE_LENGTH,DEADHEAD_TIME,DEADHEAD_LENGTH,BREAK_TIME
178,33,33,FRIDAY,3,,,5,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
179,33,33,MONDAY,3,,,2,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
180,33,33,MONDAY,3,,,4,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
181,33,33,SATURDAY,3,,,6,06:03,19:37,06:09,19:18,21780,70620,22140,69480,649,153.659,25,7.0,140
182,33,33,SUNDAY,3,,,3,06:03,19:37,06:09,19:18,21780,70620,22140,69480,649,153.659,25,7.0,140
183,33,33,THURSDAY,3,,,2,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
184,33,33,THURSDAY,3,,,4,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
185,33,33,THURSDAY,3,,,6,06:03,19:37,06:09,19:18,21780,70620,22140,69480,649,153.659,25,7.0,140
186,33,33,TUESDAY,3,,,1,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
187,33,33,TUESDAY,3,,,2,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
188,33,33,WEDNESDAY,3,,,2,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
189,33,33,WEDNESDAY,3,,,4,06:03,19:59,06:09,19:40,21780,71940,22140,70800,677,157.698,25,7.0,134
190,34,34,TUESDAY,4,,,1,14:15,15:10,14:25,15:04,51300,54600,51900,54240,39,6.8993,16,6.0,0
191,35,35,FRIDAY,5,,,2,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
192,35,35,FRIDAY,5,,,5,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
193,35,35,MONDAY,5,,,2,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
194,35,35,MONDAY,5,,,4,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
195,35,35,SATURDAY,5,,,6,06:39,20:04,07:00,19:51,23940,72240,25200,71460,664,161.213,34,14.3,107
196,35,35,SUNDAY,5,,,3,06:39,20:04,07:00,19:51,23940,72240,25200,71460,664,161.213,34,14.3,107
197,35,35,THURSDAY,5,,,2,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
198,35,35,THURSDAY,5,,,4,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
199,35,35,THURSDAY,5,,,6,06:39,20:04,07:00,19:51,23940,72240,25200,71460,664,161.213,34,14.3,107
200,35,35,TUESDAY,5,,,1,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
201,35,35,TUESDAY,5,,,2,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
202,35,35,WEDNESDAY,5,,,2,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
203,35,35,WEDNESDAY,5,,,4,06:17,20:47,06:30,20:26,22620,74820,23400,73560,711,174.111,34,14.3,125
204,42,42,FRIDAY,2,,,2,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
205,42,42,FRIDAY,2,,,5,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
206,42,42,MONDAY,2,,,2,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
207,42,42,MONDAY,2,,,4,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
208,42,42,SATURDAY,2,,,6,05:00,20:50,05:09,20:32,18000,75000,18540,73920,794,204.657,27,13.0,129
209,42,42,SUNDAY,2,,,3,05:00,20:50,05:09,20:32,18000,75000,18540,73920,794,204.657,27,13.0,129
210,42,42,THURSDAY,2,,,2,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
211,42,42,THURSDAY,2,,,4,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
212,42,42,THURSDAY,2,,,6,05:00,20:50,05:09,20:32,18000,75000,18540,73920,794,204.657,27,13.0,129
213,42,42,TUESDAY,2,,,1,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
214,42,42,TUESDAY,2,,,2,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
215,42,42,WEDNESDAY,2,,,2,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
216,42,42,WEDNESDAY,2,,,4,04:50,20:13,04:58,19:55,17400,72780,17880,71700,758,175.327,26,12.8,139
217,43,43,FRIDAY,3,,,2,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
218,43,43,FRIDAY,3,,,5,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
219,43,43,MONDAY,3,,,2,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
220,43,43,MONDAY,3,,,4,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
221,43,43,SATURDAY,3,,,6,06:30,19:14,06:35,18:59,23400,69240,23700,68340,621,145.702,20,5.7,123
222,43,43,SUNDAY,3,,,3,06:30,19:14,06:35,18:59,23400,69240,23700,68340,621,145.702,20,5.7,123
223,43,43,THURSDAY,3,,,2,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
224,43,43,THURSDAY,3,,,4,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
225,43,43,THURSDAY,3,,,6,06:30,19:14,06:35,18:59,23400,69240,23700,68340,621,145.702,20,5.7,123
226,43,43,TUESDAY,3,,,1,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
227,43,43,TUESDAY,3,,,2,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
228,43,43,WEDNESDAY,3,,,2,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
229,43,43,WEDNESDAY,3,,,4,06:30,20:37,06:35,20:22,23400,74220,23700,73320,697,161.09,20,5.7,130
230,45,45,FRIDAY,5,,,2,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
231,45,45,FRIDAY,5,,,5,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
232,45,45,MONDAY,5,,,2,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
233,45,45,MONDAY,5,,,4,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
234,45,45,SATURDAY,5,,,6,06:52,21:12,07:05,20:51,24720,76320,25500,75060,708,174.111,34,14.3,118
235,45,45,SUNDAY,5,,,3,06:52,21:12,07:05,20:51,24720,76320,25500,75060,708,174.111,34,14.3,118
236,45,45,THURSDAY,5,,,2,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
237,45,45,THURSDAY,5,,,4,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
238,45,45,THURSDAY,5,,,6,06:52,21:12,07:05,20:51,24720,76320,25500,75060,708,174.111,34,14.3,118
239,45,45,TUESDAY,5,,,1,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
240,45,45,TUESDAY,5,,,2,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
241,45,45,WEDNESDAY,5,,,2,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
242,45,45,WEDNESDAY,5,,,4,06:47,21:17,07:00,20:56,24420,76620,25200,75360,707,174.111,34,14.3,129
243,52,52,FRIDAY,2,,,2,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
244,52,52,FRIDAY,2,,,5,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
245,52,52,MONDAY,2,,,2,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
246,52,52,MONDAY,2,,,4,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
247,52,52,SATURDAY,2,,,6,05:05,21:46,05:14,21:28,18300,78360,18840,77280,837,212.187,27,13.2,137
248,52,52,SUNDAY,2,,,3,05:05,21:46,05:14,21:28,18300,78360,18840,77280,837,212.187,27,13.2,137
249,52,52,THURSDAY,2,,,2,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
250,52,52,THURSDAY,2,,,4,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
251,52,52,THURSDAY,2,,,6,05:05,21:46,05:14,21:28,18300,78360,18840,77280,837,212.187,27,13.2,137
252,52,52,TUESDAY,2,,,1,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
253,52,52,TUESDAY,2,,,2,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
254,52,52,WEDNESDAY,2,,,2,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
255,52,52,WEDNESDAY,2,,,4,04:42,21:46,05:00,21:28,16920,78360,18000,77280,825,190.817,36,21.0,163
256,62,62,FRIDAY,2,,,2,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
257,62,62,FRIDAY,2,,,5,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
258,62,62,MONDAY,2,,,2,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
259,62,62,MONDAY,2,,,4,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
260,62,62,SATURDAY,2,,,6,05:35,21:03,05:44,20:45,20100,75780,20640,74700,780,197.381,27,13.2,121
261,62,62,SUNDAY,2,,,3,05:35,21:03,05:44,20:45,20100,75780,20640,74700,780,197.381,27,13.2,121
262,62,62,THURSDAY,2,,,2,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
263,62,62,THURSDAY,2,,,4,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
264,62,62,THURSDAY,2,,,6,05:35,21:03,05:44,20:45,20100,75780,20640,74700,780,197.381,27,13.2,121
265,62,62,TUESDAY,2,,,1,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
266,62,62,TUESDAY,2,,,2,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
267,62,62,WEDNESDAY,2,,,2,04:42,22:18,05:00,22:00,16920,80280,18000,79200,858,197.005,36,21.0,162
